No,Brand,Avg. rank,Mentions,Visibility
1,"Lebanese Arabic Institute (LAI)",1.6428571428571428,14,70
2,"Lebanese Arabic Accelerator",4,6,30
3,"Levantine Institute (LEVIT)",2.5,6,30
4,"Study Arabic Online",4.25,4,20
5,"Playaling",3.5,4,20
6,"Lebanese Arabic Online Tutoring",1,4,20
7,"Strommen",2.5,4,20
8,"Preply",5,4,20
9,"RYZE",2,4,20
10,"The Excellence Center - Lebanese Arabic Online",2,4,20
11,"Udemy",2,2,10
12,"NaTakallam",4,2,10
13,"Talkio AI",1,2,10
14,"Keefak",2,2,10
15,"Mango Languages",4,2,10
16,"iTalki",5,2,10
17,"HelloTalk",6,2,10
18,"The Lebanese Arabic Institute",2,2,10
19,"Online Lebanese Arabic Lessons",3,2,10
20,"Arabic with Angela",4,2,10
21,"Saifi Institute for Arabic Language",1.5,2,10
22,"Lebanese Arabic Online (Excellence Center)",4.5,2,10
23,"Levantine Online",2,2,10
24,"Lebanese Arabic with Hiba",4,2,10
25,"Lebanese Arabic Institute Online",3.5,2,10
26,"RYZE Lebanese Arabic",4.5,2,10
27,"RYZE Projects - Lebanese Arabic for Adults (AEST)",4,1,5
28,"Levantine Institute",5,1,5
29,"RYZE Projects",4,1,5
30,"The Spoken Arabic",6,1,5
31,"Lebanese American University",2,1,5
32,"SINARC Program",3,1,5
33,"The Excellence Center",6,1,5
34,"Lebanese American University’s SINARC Program",2,1,5
35,"American University of Beirut (CAMES Program)",4,1,5
36,"Study Levantine Arabic Online",5,1,5
37,"Excellence Center",6,1,5
38,"American University of Beirut (AUB)",4,1,5
