No,Position,Keyword,Change,SD,Search Volume,URL,Location
1,1,"lebanese lessons",7,27,10,"https://lebanese-arabic.com/","English / United States"
2,1,"lebanese words",0,15,110,"https://lebanese-arabic.com/lesson15/","English / United States"
3,1,"thank you in lebanese",3,25,320,"https://lebanese-arabic.com/lesson40/","English / United States"
4,1,"learn lebanese language",1,19,320,"https://lebanese-arabic.com/","English / United States"
5,1,"happy birthday in lebanon",0,30,140,"https://lebanese-arabic.com/lesson24/","English / United States"
6,1,"lebanese language learn",2,28,320,"https://lebanese-arabic.com/","English / United States"
7,1,"good morning in lebanese",0,29,140,"https://lebanese-arabic.com/lesson9/","English / United States"
8,1,"learn lebanese arabic",7,35,320,"https://lebanese-arabic.com/","English / United States"
9,1,"learn lebanese",7,31,30,"https://lebanese-arabic.com/","English / United States"
10,2,"happy birthday in lebanese",0,18,140,"https://lebanese-arabic.com/lesson24/","English / United States"
11,2,"i love you in lebanese",-1,31,110,"https://lebanese-arabic.com/lebanese-love-phrases/","English / United States"
12,2,"how to say thank you in lebanese",0,21,140,"https://lebanese-arabic.com/lesson40/","English / United States"
13,2,"lebanon arabic language",-1,24,1300,"https://lebanese-arabic.com/lesson15/","English / United States"
14,2,"lebanese language",0,36,3600,"https://lebanese-arabic.com/lesson15/","English / United States"
15,2,"lebanese arabic",0,57,1300,"https://lebanese-arabic.com/lesson15/","English / United States"
16,2,"how do you say thank you in lebanese",0,22,140,"https://lebanese-arabic.com/lesson40/","English / United States"
17,3,"lebanese arabic phrases",0,31,140,"https://lebanese-arabic.com/lesson15/","English / United States"
18,3,"lebanese for hello",3,31,320,"https://lebanese-arabic.com/lesson1/","English / United States"
19,4,"afwan",-1,30,1300,"https://lebanese-arabic.com/lesson2/","English / United States"
20,4,"how to say hi in lebanese",0,31,260,"https://lebanese-arabic.com/lesson1/","English / United States"
21,4,"afwan meaning",1,25,1300,"https://lebanese-arabic.com/lesson2/","English / United States"
22,4,"hello in lebanese",0,31,320,"https://lebanese-arabic.com/lesson1/","English / United States"
23,4,"hello lebanese",1,24,320,"https://lebanese-arabic.com/lesson1/","English / United States"
24,4,"how do you say hello in lebanese",0,26,260,"https://lebanese-arabic.com/lesson1/","English / United States"
25,5,"grandpa in lebanese",0,26,260,"https://lebanese-arabic.com/lesson12/","English / United States"
26,5,"lebanese for grandmother",95,18,480,"https://lebanese-arabic.com/lesson12/","English / United States"
27,5,"money in lebanese",-1,28,590,"https://lebanese-arabic.com/lesson4/","English / United States"
28,5,"grandfather in lebanese",0,22,260,"https://lebanese-arabic.com/lesson12/","English / United States"
29,6,"lebanese arabic books",0,21,70,"https://lebanese-arabic.com/books/","English / United States"
30,7,"how to say hello in lebanese",0,30,260,"https://lebanese-arabic.com/lesson1/","English / United States"
31,7,"grandmother in lebanese",4,22,480,"https://lebanese-arabic.com/lesson12/","English / United States"
32,16,"what do lebanese people speak",0,27,260,"https://lebanese-arabic.com/lesson15/","English / United States"
33,23,"lebanese pronounce",77,29,1000,"https://lebanese-arabic.com/lesson15/","English / United States"
34,24,"lebanese pronunciation",4,30,1000,"https://lebanese-arabic.com/lesson1/","English / United States"
35,"Not ranked","is lebanese arabic","-",34,1300,"","English / United States"
36,"Not ranked","marhaba meaning","-",27,2900,"","English / United States"
37,"Not ranked","lebanese grandmother","-",29,480,"","English / United States"
38,"Not ranked","english to lebanese","-",38,590,"","English / United States"
39,"Not ranked","lebanese for grandma","-",19,480,"","English / United States"
